Date,humidity,precipitation,pressure,temperature,co,so2,pm25,pm10,o3,no2,aqi_co,aqi_so2,aqi_pm25,aqi_pm10,aqi_o3_1,aqi_no2,AQI_total
2019-01-01,71.9,1.0,996.1,13.0,1.7600000000000002,0.009300000000000001,341.0,354.0,0.0040999999999999995,0.029,20,14,391,200,0,0,391
2019-01-02,75.7,405.3,996.5,13.8,1.99,0.0087,383.0,405.0,0.0045000000000000005,0.0319,23,13,422,273,0,0,422
2019-01-03,79.0,0.5,997.5,13.0,1.85,0.0070999999999999995,410.0,421.0,0.0043,0.028800000000000003,21,10,440,296,0,0,440
2019-01-04,81.7,34.4,996.5,12.3,1.5,0.006500000000000001,289.0,220.0,0.0038,0.023600000000000003,17,10,339,133,0,0,339
2019-01-05,70.3,44.7,994.3,13.9,1.56,0.0076,304.0,266.0,0.0053,0.0253,18,11,354,156,0,0,354
2019-01-06,76.9,0.5,994.3,14.0,1.1400000000000001,0.006900000000000001,212.0,141.0,0.0054,0.0227,13,10,262,94,0,0,262
2019-01-07,82.0,,996.2,13.0,1.1800000000000002,0.0076,231.0,159.0,0.0036000000000000003,0.0225,13,11,281,103,0,0,281
2019-01-08,78.2,,993.6,13.3,1.08,0.007200000000000001,203.0,141.0,0.0040999999999999995,0.0209,12,11,253,94,0,0,253
2019-01-09,67.2,,993.1,13.8,1.02,0.0075,200.0,141.0,0.0058,0.0205,12,11,250,94,0,0,250
2019-01-10,71.0,,993.2,12.8,1.1300000000000001,0.0089,219.0,153.0,0.005,0.0246,13,13,269,100,0,0,269
2019-01-11,75.8,,994.9,13.1,1.99,0.0096,317.0,282.0,0.0036000000000000003,0.033,23,14,367,164,0,0,367
2019-01-12,72.4,,994.0,14.7,2.2600000000000002,0.008400000000000001,354.0,365.0,0.0036000000000000003,0.0378,26,12,403,215,0,0,403
2019-01-13,71.2,,996.0,16.0,1.7000000000000002,0.0088,307.0,246.0,0.0050999999999999995,0.0299,19,13,357,146,0,0,357
2019-01-14,54.7,,995.7,13.0,0.8800000000000001,0.0075,169.0,105.0,0.0063,0.0181,10,11,219,76,0,0,219
2019-01-15,62.5,,994.6,11.2,0.9800000000000001,0.0086,185.0,122.0,0.0068,0.0216,11,13,235,84,0,0,235
2019-01-16,69.8,,994.9,12.8,1.9000000000000001,0.0095,298.0,270.0,0.0037,0.0338,22,14,348,158,0,0,348
2019-01-17,70.5,,993.8,14.0,2.23,0.0096,383.0,404.0,0.0038,0.032600000000000004,25,14,422,271,0,0,422
2019-01-18,76.2,,994.2,12.7,1.52,0.0074,286.0,230.0,0.0026000000000000003,0.0267,17,11,336,138,0,0,336
2019-01-19,69.1,,993.8,14.7,1.6100000000000003,0.0086,310.0,295.0,0.0031000000000000003,0.0298,18,13,360,171,0,0,360
2019-01-20,67.5,,993.1,18.0,2.9000000000000004,0.010199999999999999,340.0,401.0,0.0058,0.038,33,15,390,267,0,0,390
2019-01-21,73.4,0.5,990.7,17.0,1.1800000000000002,0.0078,199.0,175.0,0.006200000000000001,0.024800000000000003,13,11,249,111,0,0,249
2019-01-22,90.1,0.5,991.6,14.6,0.82,0.0053,144.0,59.0,0.007200000000000001,0.0171,9,8,196,53,0,0,196
2019-01-23,88.8,,994.5,13.7,1.29,0.0070999999999999995,183.0,120.0,0.0038,0.019100000000000002,15,10,233,83,0,0,233
2019-01-24,77.0,,996.6,15.3,1.02,0.0076,183.0,128.0,0.0060999999999999995,0.02,12,11,233,87,0,0,233
2019-01-25,75.5,0.5,996.6,13.6,0.71,0.006900000000000001,158.0,83.0,0.0079,0.0181,8,10,208,65,0,0,208
2019-01-26,64.8,,999.0,12.5,0.75,0.0073,175.0,109.0,0.0076,0.0174,9,11,225,78,0,0,225
