Date,humidity,precipitation,pressure,temperature,wind-speed,co,so2,pm25,pm10,o3,no2,aqi_co,aqi_so2,aqi_pm25,aqi_pm10,aqi_o3_1,aqi_no2,AQI_total
2019-01-01,16.0,,1021.0,2.5,0.5,0.34,0.0015,38.0,10.0,0.016800000000000002,0.013900000000000001,4,2,95,9,0,0,95
2019-01-02,16.0,,1018.0,3.3,0.6,0.34,0.0015,17.0,5.0,0.024100000000000003,0.008400000000000001,4,2,54,5,0,0,54
2019-01-03,16.0,,1021.0,2.5,0.7,0.22999999999999998,0.0015,17.0,5.0,0.024800000000000003,0.008400000000000001,3,2,54,5,0,0,54
2019-01-04,16.0,,1022.0,2.2,0.2,0.45,0.0029,34.0,9.0,0.0184,0.0176,5,4,87,8,0,0,87
2019-01-05,16.0,,1012.5,3.0,0.5,0.45,0.0015,50.0,11.0,0.016,0.0213,5,2,120,10,0,0,120
2019-01-06,16.0,,1015.8,4.0,1.1,0.22999999999999998,0.0015,21.0,5.0,0.0289,0.006500000000000001,3,2,62,5,0,0,62
2019-01-07,15.0,,1017.0,1.2,0.8,0.34,0.0015,25.0,7.0,0.0224,0.0158,4,2,70,6,0,0,70
2019-01-08,16.0,,1015.3,0.8,0.5,0.5599999999999999,0.0029,61.0,16.0,0.004,0.0389,6,4,141,15,0,0,141
2019-01-09,15.4,,1017.2,2.7,1.0,0.34,0.0015,25.0,7.0,0.0256,0.010199999999999999,4,2,70,6,0,0,70
2019-01-10,15.8,,1017.0,0.0,0.5,0.5599999999999999,0.0015,59.0,15.0,0.0073,0.0343,6,2,137,14,0,0,137
2019-01-11,15.1,,1014.3,3.2,1.6,0.45,0.0015,38.0,10.0,0.0224,0.018600000000000002,5,2,95,9,0,0,95
2019-01-12,16.0,,1017.0,2.7,0.7,0.45,0.0015,63.0,18.0,0.0088,0.028800000000000003,5,2,145,17,0,0,145
2019-01-13,15.5,,1017.0,4.4,0.6,0.34,0.0015,46.0,12.0,0.0192,0.013000000000000001,4,2,112,11,0,0,112
2019-01-14,15.2,,1020.1,1.0,0.4,0.45,0.0015,46.0,11.0,0.016800000000000002,0.0195,5,2,112,10,0,0,112
2019-01-15,18.0,,1018.0,1.3,0.5,0.5599999999999999,0.0029,65.0,18.0,0.004,0.0352,6,4,149,17,0,0,149
2019-01-16,15.3,,1009.0,3.0,1.0,0.5599999999999999,0.0015,50.0,12.0,0.024800000000000003,0.0176,6,2,120,11,0,0,120
2019-01-17,16.0,,1008.1,5.0,1.0,0.5599999999999999,0.0029,50.0,13.0,0.02,0.0232,6,4,120,12,0,0,120
2019-01-18,16.0,,1012.7,3.8,2.0,0.22999999999999998,0.0015,25.0,7.0,0.0264,0.010199999999999999,3,2,70,6,0,0,70
2019-01-19,14.7,,1016.0,4.4,0.5,0.34,0.0015,30.0,8.0,0.0216,0.018600000000000002,4,2,80,7,0,0,80
2019-01-20,15.5,,1005.2,3.0,0.6,0.45,0.0029,55.0,14.0,0.0192,0.0195,5,4,130,13,0,0,130
2019-01-21,15.9,,1006.9,3.8,1.5,0.34,0.0015,25.0,7.0,0.0264,0.0112,4,2,70,6,0,0,70
2019-01-22,15.3,,1008.9,1.6,0.7,0.45,0.0015,38.0,10.0,0.020800000000000003,0.0223,5,2,95,9,0,0,95
2019-01-23,0.0,,1010.4,0.0,0.0,0.5599999999999999,0.0029,55.0,15.0,0.016,0.0251,6,4,130,14,0,0,130
